word,profane,offensive,sexual,mean,evasive
卍,0,2,0,0,0
卐,0,2,0,0,0
࿕,0,2,0,0,0
࿖,0,2,0,0,0
࿗,0,2,0,0,0
࿘,0,2,0,0,0
✠,0,1,0,0,0
🖕,1,0,0,0,1
🍆,0,0,0,0,1
🍆💦,1,0,3,0,1
🍆💦🍑,1,0,3,0,2
🍆🍑,1,0,3,0,2
🍆+🍑,1,0,3,0,2
🍑💦,1,0,0,0,1
𓂺,0,0,2,0,3
_l_,1,0,0,0,2
3==D,0,0,2,0,1
3==o,0,0,2,0,1
8==>,0,0,2,0,1
8==D,0,0,2,0,1
8==o,0,0,2,0,1
9/11,0,1,0,0,0
c==3,0,0,2,0,1
c==B,0,0,2,0,1
a mf,1,1,1,0,1
a negro,0,1,0,0,0
a latex,0,0,2,0,2
adlof,0,1,0,0,1
adolf,0,2,0,0,0
africans,0,1,0,0,0
ahole,2,0,1,2,0
aholes,2,0,1,0,0
anal,2,0,2,0,0
anus,2,0,0,0,0
apeshit,2,0,0,0,0
aregae,0,2,0,0,1
aregay,0,2,0,0,0
arse,2,0,0,0,0
arsehole,2,0,0,0,0
ashole,2,0,1,2,0
asian people,0,1,0,0,0
asians,0,1,0,0,0
 ass,2,0,1,0,0
assbanger,2,0,2,0,0
asseater,2,0,0,2,0
asses,2,0,1,0,0
asscock,2,0,2,0,0
assface,2,0,0,2,0
asshat,2,0,0,2,0
asshole,2,0,1,2,0
asslick,2,0,1,2,0
assjaber,2,0,2,0,0
asspirate,2,2,2,0,1
asswipe,2,0,0,2,0
 azz,1,0,0,0,1
b word,1,0,0,0,1
bad lay,0,0,2,1,0
bafangu chooch,0,0,2,0,0
baisee,2,0,1,0,0
balls,0,0,1,0,0
ballz,0,0,1,0,1
bals,0,0,1,0,1
balsack,0,0,3,0,0
bastard,2,3,0,0,0
bastrad,2,3,0,0,1
batard,1,2,0,0,0
 bdsm,0,0,2,0,0
beaner,0,2,0,0,0
beastiality,0,0,3,0,0
beatmeat,0,0,2,0,1
